TAXON
"Alyssum alyssoides (L.) L., 1759"
"Alyssum montanum L., 1753"
"Amaranthus albus L., 1759"
"Amaranthus blitoides S.Watson, 1877"
"Amaranthus blitum L., 1753"
"Amaranthus deflexus L., 1771"
"Amaranthus graecizans L., 1753"
"Amaranthus graecizans subsp. silvestris (Vill.) Brenan, 1961"
"Amaranthus hybridus L., 1753"
"Amaranthus retroflexus L., 1753"
"Ambrosia artemisiifolia L., 1753"
"Ambrosia psilostachya DC., 1836"
"Amelanchier ovalis Medik., 1793"
"Amelanchier ovalis subsp. ovalis Medik., 1793"
"Ammi majus L., 1753"
"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase, 1997"
"Anacamptis coriophora subsp. coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase, 1997"
"Anacamptis laxiflora (Lam.) R.M.Bateman, Pridgeon & M.W.Chase, 1997"
"Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase, 1997"
"Anacamptis morio subsp. morio (L.) R.M.Bateman, Pridgeon & M.W.Chase, 1997"
"Anacamptis palustris (Jacq.) R.M.Bateman, Pridgeon & M.W.Chase, 1997"
"Anacamptis pyramidalis (L.) Rich., 1817"
"Anchusa italica Retz., 1779"
"Androsace maxima L., 1753"
"Andryala integrifolia L., 1753"
"Anemone hepatica L., 1753"
"Anemone nemorosa L., 1753"
"Anemone pulsatilla L., 1753"
"Anemone pulsatilla subsp. pulsatilla L., 1753"
"Anemone ranunculoides L., 1753"
"Anemone ranunculoides subsp. ranunculoides L., 1753"
"Anemone sylvestris L., 1753"
"Angelica sylvestris L., 1753"
"Angelica sylvestris subsp. sylvestris L., 1753"
"Anisantha diandra (Roth) Tutin ex Tzvelev, 1963"
"Anisantha madritensis (L.) Nevski, 1934"
"Anisantha rubens (L.) Nevski, 1934"
"Anisantha sterilis (L.) Nevski, 1934"
"Anisantha tectorum (L.) Nevski, 1934"
"Antennaria dioica (L.) Gaertn., 1791"
"Anthemis arvensis L., 1753"
"Anthemis arvensis subsp. arvensis L., 1753"
"Anthemis cotula L., 1753"
"Anthericum liliago L., 1753"
"Anthericum ramosum L., 1753"
"Anthoxanthum odoratum L., 1753"
"Anthriscus caucalis M.Bieb., 1808"
"Anthriscus sylvestris (L.) Hoffm., 1814"
"Anthriscus sylvestris subsp. sylvestris (L.) Hoffm., 1814"
"Anthyllis vulneraria L., 1753"
"Antinoria agrostidea (DC.) Parl., 1845"
"Antinoria agrostidea subsp. agrostidea (DC.) Parl., 1845"
"Apera interrupta (L.) P.Beauv., 1812"
"Apera spica-venti (L.) P.Beauv., 1812"
"Apera spica-venti subsp. spica-venti (L.) P.Beauv., 1812"
"Aphanes arvensis L., 1753"
"Aphanes australis Rydb., 1908"
"Aquilegia vulgaris L., 1753"
"Arabidopsis arenosa (L.) Lawalrée, 1960"
"Arabidopsis arenosa subsp. borbasii (Zapal.) O'Kane & Al-Shehbaz, 1997"
"Arabidopsis thaliana (L.) Heynh., 1842"
"Arabis hirsuta (L.) Scop., 1772"
"Arabis planisiliqua (Pers.) Rchb., 1838"
"Arabis sagittata (Bertol.) DC., 1815"
"Arctium lappa L., 1753"
"Arctium minus (Hill) Bernh., 1800"
"Arctium nemorosum Lej., 1833"
"Arctium tomentosum Mill., 1768"
"Arenaria grandiflora L., 1759"
"Arenaria grandiflora subsp. grandiflora L., 1759"
"Arenaria leptoclados (Rchb.) Guss., 1844"
"Arenaria serpyllifolia L., 1753"
"Argentina anserina (L.) Rydb., 1899"
"Aristavena setacea (Huds.) F.Albers & Butzin, 1977"
"Aristolochia clematitis L., 1753"
"Armeria arenaria (Pers.) Schult., 1820"
"Armeria arenaria subsp. arenaria (Pers.) Schult., 1820"
"Armoracia rusticana G.Gaertn., B.Mey. & Scherb., 1800"
"Arnoseris minima (L.) Schweigg. & Körte, 1811"
"Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl, 1819"
"Arrhenatherum elatius subsp. bulbosum (Willd.) Schübl. & G.Martens, 1834"
"Arrhenatherum elatius subsp. elatius (L.) P.Beauv. ex J.Presl & C.Presl, 1819"
"Artemisia absinthium L., 1753"
"Artemisia annua L., 1753"
"Artemisia biennis Willd., 1794"
"Artemisia campestris L., 1753"
"Artemisia campestris subsp. campestris L., 1753"
"Artemisia verlotiorum Lamotte, 1877"
"Artemisia vulgaris L., 1753"
"Arum italicum Mill., 1768"
"Arum maculatum L., 1753"
"Asarum europaeum L., 1753"
"Asarum europaeum subsp. europaeum L., 1753"
"Asparagus officinalis L., 1753"
"Asparagus officinalis subsp. officinalis L., 1753"
"Asperugo procumbens L., 1753"
"Asperula arvensis L., 1753"
"Asperula cynanchica L., 1753"
"Asperula tinctoria L., 1753"
"Asplenium adiantum-nigrum L., 1753"
"Asplenium ceterach L., 1753"
"Asplenium foreziense D.Legrand, 1885"
"Asplenium obovatum subsp. billotii (F.W.Schultz) Kerguélen, 1998"
"Asplenium obovatum Viv., 1824"
"Asplenium ruta-muraria L., 1753"
"Asplenium ruta-muraria subsp. ruta-muraria L., 1753"
"Asplenium scolopendrium L., 1753"
"Asplenium septentrionale (L.) Hoffm., 1795"
"Asplenium septentrionale subsp. septentrionale (L.) Hoffm., 1795"
"Asplenium trichomanes L., 1753"
"Asplenium trichomanes subsp. quadrivalens D.E.Mey., 1964"
"Aster amellus L., 1753"
"Astragalus glycyphyllos L., 1753"
"Astragalus monspessulanus L., 1753"
"Astragalus monspessulanus subsp. monspessulanus L., 1753"
"Athyrium filix-femina (L.) Roth, 1799"
"Atriplex patula L., 1753"
"Atriplex prostrata Boucher ex DC., 1805"
"Atropa belladonna L., 1753"
"Avena barbata Pott ex Link, 1799"
"Avena barbata subsp. barbata Pott ex Link, 1799"
"Avena fatua L., 1753"
"Avena fatua subsp. fatua L., 1753"
"Avena sterilis L., 1762"
"Avenella flexuosa (L.) Drejer, 1838"
"Avenella flexuosa subsp. flexuosa (L.) Drejer, 1838"
"Avenula pubescens (Huds.) Dumort., 1868"
"Avenula pubescens subsp. pubescens (Huds.) Dumort., 1868"
"Azolla filiculoides Lam., 1783"
"Baldellia ranunculoides (L.) Parl., 1854"
"Baldellia repens (Lam.) Ooststr. ex Lawalrée, 1973"
"Ballota nigra L., 1753"
"Ballota nigra subsp. foetida (Vis.) Hayek, 1929"
"Barbarea intermedia Boreau, 1840"
"Barbarea vulgaris W.T.Aiton, 1812"
"Bassia scoparia (L.) Voss, 1903"
"Bellis perennis L., 1753"
"Berberis aquifolium Pursh, 1814"
"Berberis vulgaris L., 1753"
"Berteroa incana (L.) DC., 1821"
"Berula erecta (Huds.) Coville, 1893"
"Beta vulgaris L., 1753"
"Betonica officinalis L., 1753"
"Betonica officinalis subsp. officinalis L., 1753"
"Betula pendula Roth, 1788"
"Betula pubescens Ehrh., 1791"
"Bidens cernua L., 1753"
"Bidens connata Muhl. ex Willd., 1803"
"Bidens frondosa L., 1753"
"Bidens radiata Thuill., 1799"
"Bidens tripartita L., 1753"
"Bidens tripartita subsp. tripartita L., 1753"
"Bifora radians M.Bieb., 1819"
"Bistorta officinalis Delarbre, 1800"
"Blackstonia perfoliata (L.) Huds., 1762"
"Blackstonia perfoliata subsp. perfoliata (L.) Huds., 1762"
"Blechnum spicant (L.) Roth, 1794"
"Blitum bonus-henricus (L.) C.A.Mey., 1829"
"Blysmus compressus (L.) Panz. ex Link, 1827"
"Bolboschoenus laticarpus Marhold, Hroudová, Duchácek & Zákr., 2004"
"Bolboschoenus planiculmis (F.Schmidt) T.V.Egorova, 1967"
"Bolboschoenus yagara (Ohwi) A.E.Kozhevn., 1988"
"Bombycilaena erecta (L.) Smoljan., 1955"
"Bothriochloa ischaemum (L.) Keng, 1936"
"Botrychium lunaria (L.) Sw., 1802"
"Botrychium matricariifolium (A.Braun ex Döll) W.D.J.Koch, 1846"
"Brachypodium rupestre (Host) Roem. & Schult., 1817"
"Brachypodium rupestre subsp. rupestre (Host) Roem. & Schult., 1817"
"Brachypodium sylvaticum (Huds.) P.Beauv., 1812"
"Brassica nigra (L.) W.D.J.Koch, 1833"
"Briza media L., 1753"
"Briza media subsp. media L., 1753"
"Briza minor L., 1753"
"Bromopsis erecta (Huds.) Fourr., 1869"
"Bromopsis erecta subsp. erecta (Huds.) Fourr., 1869"
"Bromopsis inermis (Leyss.) Holub, 1973"
"Bromopsis ramosa (Huds.) Holub, 1973"
"Bromopsis ramosa subsp. ramosa (Huds.) Holub, 1973"
"Bromus arvensis L., 1753"
"Bromus catharticus Vahl, 1791"
"Bromus commutatus Schrad., 1806"
"Bromus commutatus subsp. commutatus Schrad., 1806"
"Bromus hordeaceus L., 1753"
"Bromus racemosus L., 1762"
"Bromus racemosus subsp. racemosus L., 1762"
"Bromus secalinus L., 1753"
"Bryonia cretica L., 1753"
"Bryonia cretica subsp. dioica (Jacq.) Tutin, 1968"
"Buddleja davidii Franch., 1887"
"Buglossoides arvensis (L.) I.M.Johnst., 1954"
"Buglossoides arvensis subsp. arvensis (L.) I.M.Johnst., 1954"
"Buglossoides purpurocaerulea (L.) I.M.Johnst., 1954"
"Bunias orientalis L., 1753"
"Bunium bulbocastanum L., 1753"
"Bupleurum baldense Turra, 1764"
"Bupleurum falcatum L., 1753"
"Bupleurum falcatum subsp. falcatum L., 1753"
"Bupleurum rotundifolium L., 1753"
"Bupleurum tenuissimum L., 1753"
"Bupleurum tenuissimum subsp. tenuissimum L., 1753"
"Butomus umbellatus L., 1753"
"Buxus sempervirens L., 1753"
"Calamagrostis canescens (Weber) Roth, 1789"
"Calamagrostis canescens subsp. canescens (Weber) Roth, 1789"
"Calamagrostis epigejos (L.) Roth, 1788"
"Calamagrostis epigejos subsp. epigejos (L.) Roth, 1788"
"Calendula arvensis L., 1763"
"Calepina irregularis (Asso) Thell., 1905"
"Callitriche brutia Petagna, 1787"
"Callitriche hamulata Kütz. ex W.D.J.Koch, 1837"
"Callitriche obtusangula Le Gall, 1852"
"Callitriche palustris L., 1753"
"Callitriche platycarpa Kütz., 1842"
"Callitriche stagnalis Scop., 1772"
"Callitriche truncata Guss., 1826"
"Callitriche truncata subsp. occidentalis (Rouy) Braun-Blanq., 1929"
"Calluna vulgaris (L.) Hull, 1808"
"Caltha palustris L., 1753"
"Caltha palustris subsp. palustris L., 1753"
"Camelina alyssum (Mill.) Thell., 1906"
"Camelina microcarpa Andrz. ex DC., 1821"
"Campanula cervicaria L., 1753"
"Campanula glomerata L., 1753"
"Campanula glomerata subsp. glomerata L., 1753"
"Campanula persicifolia L., 1753"
"Campanula rapunculoides L., 1753"
"Campanula rapunculus L., 1753"
"Campanula rotundifolia L., 1753"
"Campanula rotundifolia subsp. rotundifolia L., 1753"
"Campanula trachelium L., 1753"
"Campanula trachelium subsp. trachelium L., 1753"
"Capsella bursa-pastoris (L.) Medik., 1792"
"Cardamine amara L., 1753"
"Cardamine amara subsp. amara L., 1753"
"Cardamine bulbifera (L.) Crantz, 1769"
"Cardamine dentata Schult., 1809"
"Cardamine flexuosa With., 1796"
"Cardamine heptaphylla (Vill.) O.E.Schulz, 1903"
"Cardamine hirsuta L., 1753"
"Cardamine impatiens L., 1753"
"Cardamine pratensis L., 1753"
"Cardamine pratensis subsp. pratensis L., 1753"
"Carduus acanthoides L., 1753"
"Carduus crispus L., 1753"
"Carduus crispus subsp. multiflorus (Gaudin) Franco, 1975"
"Carduus nutans L., 1753"
"Carduus nutans subsp. nutans L., 1753"
"Carduus pycnocephalus L., 1763"
"Carduus pycnocephalus subsp. pycnocephalus L., 1763"
"Carduus tenuiflorus Curtis, 1793"
"Carex acuta L., 1753"
"Carex acutiformis Ehrh., 1789"
"Carex appropinquata Schumach., 1801"
"Carex arenaria L., 1753"
"Carex bohemica Schreb., 1772"
"Carex canescens L., 1753"
"Carex caryophyllea Latourr., 1785"
"Carex davalliana Sm., 1800"
"Carex demissa Vahl ex Hartm., 1808"
"Carex depauperata Curtis ex With., 1787"
"Carex diandra Schrank, 1781"
"Carex digitata L., 1753"
"Carex dioica L., 1753"
"Carex distans L., 1759"
"Carex disticha Huds., 1762"
"Carex divisa Huds., 1762"
"Carex divulsa Stokes, 1787"
"Carex echinata Murray, 1770"
"Carex elata All., 1785"
"Carex elata subsp. elata All., 1785"
"Carex elongata L., 1753"
"Carex ericetorum Pollich, 1777"
"Carex flacca Schreb., 1771"
"Carex flacca subsp. flacca Schreb., 1771"
"Carex flava L., 1753"
"Carex halleriana Asso, 1779"
"Carex hartmanii Cajander, 1935"
"Carex hirta L., 1753"
"Carex hordeistichos Vill., 1779"
"Carex hostiana DC., 1813"
"Carex humilis Leyss., 1758"
"Carex laevigata Sm., 1800"
"Carex lasiocarpa Ehrh., 1784"
"Carex leersii F.W.Schultz, 1870"
"Carex lepidocarpa Tausch, 1834"
"Carex leporina L., 1753"
"Carex leporina var. leporina L., 1753"
"Carex liparocarpos Gaudin, 1804"
"Carex liparocarpos subsp. liparocarpos Gaudin, 1804"
"Carex mairei Coss. & Germ., 1840"
"Carex montana L., 1753"
"Carex nigra (L.) Reichard, 1778"
"Carex otrubae Podp., 1922"
"Carex pairae F.W.Schultz, 1868"
"Carex pallescens L., 1753"
"Carex panicea L., 1753"
"Carex paniculata L., 1755"
"Carex paniculata subsp. paniculata L., 1755"
"Carex pendula Huds., 1762"
"Carex pilulifera L., 1753"
"Carex pilulifera subsp. pilulifera L., 1753"
"Carex praecox Schreb., 1771"
"Carex pseudocyperus L., 1753"
"Carex pulicaris L., 1753"
"Carex remota L., 1755"
"Carex riparia Curtis, 1783"
"Carex rostrata Stokes, 1787"
"Carex spicata Huds., 1762"
"Carex strigosa Huds., 1778"
"Carex sylvatica Huds., 1762"
"Carex sylvatica subsp. sylvatica Huds., 1762"
"Carex tomentosa L., 1767"
"Carex umbrosa Host, 1801"
"Carex vesicaria L., 1753"
"Carex viridula Michx., 1803"
"Carex vulpina L., 1753"
"Carlina vulgaris L., 1753"
"Carpinus betulus L., 1753"
"Carthamus lanatus L., 1753"
"Carthamus mitissimus L., 1753"
"Castanea sativa Mill., 1768"
"Catabrosa aquatica (L.) P.Beauv., 1812"
"Catapodium rigidum (L.) C.E.Hubb., 1953"
"Caucalis platycarpos L., 1753"
"Centaurea calcitrapa L., 1753"
"Centaurea decipiens Thuill., 1799"
"Centaurea jacea L., 1753"
"Centaurea scabiosa L., 1753"
"Centaurea scabiosa subsp. scabiosa L., 1753"
"Centaurea stoebe L., 1753"
"Centaurium erythraea Rafn, 1800"
"Centaurium erythraea subsp. erythraea Rafn, 1800"
Centaurium erythraea var. erythraea
"Centaurium pulchellum (Sw.) Druce, 1898"
"Centranthus ruber (L.) DC., 1805"
"Centranthus ruber subsp. ruber (L.) DC., 1805"
"Cephalanthera damasonium (Mill.) Druce, 1906"
"Cephalanthera longifolia (L.) Fritsch, 1888"
"Cephalanthera rubra (L.) Rich., 1817"
"Cerastium arvense L., 1753"
"Cerastium arvense subsp. arvense L., 1753"
"Cerastium brachypetalum Desp. ex Pers., 1805"
"Cerastium fontanum Baumg., 1816"
"Cerastium fontanum subsp. vulgare (Hartm.) Greuter & Burdet, 1982"
"Cerastium glomeratum Thuill., 1799"
"Cerastium pumilum Curtis, 1777"
"Cerastium semidecandrum L., 1753"
"Ceratophyllum demersum L., 1753"
"Ceratophyllum submersum L., 1763"
"Cervaria rivini Gaertn., 1788"
"Chaenorrhinum minus (L.) Lange, 1870"
"Chaenorrhinum minus subsp. minus (L.) Lange, 1870"
"Chaerophyllum temulum L., 1753"
"Chamaemelum nobile (L.) All., 1785"
"Chelidonium majus L., 1753"
"Chelidonium majus subsp. majus L., 1753"
"Chenopodiastrum hybridum (L.) S.Fuentes, Uotila & Borsch, 2012"
"Chenopodiastrum murale (L.) S.Fuentes, Uotila & Borsch, 2012"
"Chenopodium album L., 1753"
"Chenopodium album subsp. album L., 1753"
"Chenopodium album subsp. opulifolium (Schrad. ex W.D.J.Koch & Ziz) Batt., 1890"
"Chenopodium ficifolium Sm., 1800"
"Chenopodium vulvaria L., 1753"
"Chimaphila umbellata (L.) W.P.C.Barton, 1817"
"Chondrilla juncea L., 1753"
"Chrysosplenium alternifolium L., 1753"
"Chrysosplenium oppositifolium L., 1753"
"Cicendia filiformis (L.) Delarbre, 1800"
"Cichorium intybus L., 1753"
"Cicuta virosa L., 1753"
"Circaea lutetiana L., 1753"
"Cirsium acaulon (L.) Scop., 1769"
"Cirsium arvense (L.) Scop., 1772"
"Cirsium dissectum (L.) Hill, 1768"
"Cirsium eriophorum (L.) Scop., 1772"
"Cirsium oleraceum (L.) Scop., 1769"
"Cirsium palustre (L.) Scop., 1772"
"Cirsium tuberosum (L.) All., 1785"
"Cirsium vulgare (Savi) Ten., 1838"
"Cirsium vulgare subsp. vulgare (Savi) Ten., 1838"
"Cirsium x rigens (Aiton) Wallr., 1822"
"Cistus umbellatus L., 1753"
"Cistus umbellatus subsp. umbellatus L., 1753"
"Cladanthus mixtus (L.) Chevall., 1827"
"Cladium mariscus (L.) Pohl, 1809"
"Clematis vitalba L., 1753"
"Clinopodium acinos (L.) Kuntze, 1891"
"Clinopodium nepeta (L.) Kuntze, 1891"
"Clinopodium nepeta subsp. ascendens (Jord.) B.Bock, 2012"
"Clinopodium nepeta subsp. nepeta (L.) Kuntze, 1891"
"Clinopodium nepeta subsp. sylvaticum (Bromf.) Peruzzi & F.Conti, 2008"
"Clinopodium vulgare L., 1753"
"Cochlearia danica L., 1753"
"Coeloglossum viride (L.) Hartm., 1820"
"Coincya monensis (L.) Greuter & Burdet, 1983"
"Coincya monensis subsp. cheiranthos (Vill.) Aedo, Leadlay & Muñoz Garm., 1993"
"Colchicum autumnale L., 1753"
"Colutea arborescens L., 1753"
"Comarum palustre L., 1753"
"Conium maculatum L., 1753"
"Conopodium majus (Gouan) Loret, 1886"
"Conopodium majus subsp. majus (Gouan) Loret, 1886"
"Conringia orientalis (L.) Dumort., 1827"
"Convallaria majalis L., 1753"
"Convolvulus arvensis L., 1753"
"Convolvulus sepium L., 1753"
"Convolvulus silvaticus Kit., 1805"
"Corispermum intermedium Schweigg., 1812"
"Cornus mas L., 1753"
"Cornus sanguinea L., 1753"
"Cornus sanguinea subsp. sanguinea L., 1753"
"Coronilla minima L., 1756"
"Coronilla minima subsp. minima L., 1756"
"Coronilla varia L., 1753"
"Corydalis solida (L.) Clairv., 1811"
"Corylus avellana L., 1753"
"Corynephorus canescens (L.) P.Beauv., 1812"
"Crassula tillaea Lest.-Garl., 1903"
"Crassula vaillantii (Willd.) Roth, 1827"
"Crataegus germanica (L.) Kuntze, 1891"
"Crataegus laevigata (Poir.) DC., 1825"
"Crataegus monogyna Jacq., 1775"
"Crataegus x macrocarpa Hegetschw., 1839"
"Crataegus x media Bechst., 1797"
"Crepis biennis L., 1753"
"Crepis bursifolia L., 1753"
"Crepis capillaris (L.) Wallr., 1840"
"Crepis foetida L., 1753"
"Crepis foetida subsp. foetida L., 1753"
"Crepis pulchra L., 1753"
"Crepis sancta (L.) Bornm., 1913"
"Crepis setosa Haller f., 1797"
"Crepis tectorum L., 1753"
"Crepis vesicaria L., 1753"
"Crepis vesicaria subsp. taraxacifolia (Thuill.) Thell. ex Schinz & R.Keller, 1914"
"Cruciata laevipes Opiz, 1852"
"Crypsis alopecuroides (Piller & Mitterp.) Schrad., 1806"
"Cuscuta epilinum Weihe, 1824"
"Cuscuta epithymum (L.) L., 1774"
"Cuscuta epithymum subsp. epithymum (L.) L., 1774"
"Cuscuta europaea L., 1753"
"Cyanus segetum Hill, 1762"
"Cymbalaria muralis G.Gaertn., B.Mey. & Scherb., 1800"
"Cynodon dactylon (L.) Pers., 1805"
"Cynoglossum germanicum Jacq., 1767"
"Cynoglossum officinale L., 1753"
"Cynosurus cristatus L., 1753"
"Cyperus eragrostis Lam., 1791"
"Cyperus flavescens L., 1753"
"Cyperus fuscus L., 1753"
"Cyperus longus L., 1753"
"Cystopteris fragilis (L.) Bernh., 1805"
"Cytisus decumbens (Durande) Spach, 1845"
"Cytisus lotoides Pourr., 1788"
"Cytisus scoparius (L.) Link, 1822"
"Cytisus scoparius subsp. scoparius (L.) Link, 1822"
"Dactylis glomerata L., 1753"
"Dactylis glomerata subsp. glomerata L., 1753"
"Dactylis glomerata subsp. lobata (Drejer) H.Lindb., 1906"
"Dactylorhiza fuchsii (Druce) Soó, 1962"
"Dactylorhiza incarnata (L.) Soó, 1962"
"Dactylorhiza incarnata subsp. incarnata (L.) Soó, 1962"
Dactylorhiza incarnata var. incarnata
"Dactylorhiza maculata (L.) Soó, 1962"
"Dactylorhiza majalis (Rchb.) P.F.Hunt & Summerh., 1965"
"Dactylorhiza praetermissa (Druce) Soó, 1962"
"Dactylorhiza sambucina (L.) Soó, 1962"
"Damasonium alisma Mill., 1768"
"Danthonia decumbens (L.) DC., 1805"
"Danthonia decumbens subsp. decumbens (L.) DC., 1805"
"Daphne laureola L., 1753"
"Daphne mezereum L., 1753"
"Datura stramonium L., 1753"
"Daucus carota L., 1753"
"Daucus carota subsp. carota L., 1753"
"Delphinium consolida L., 1753"
"Delphinium consolida subsp. consolida L., 1753"
"Deschampsia cespitosa (L.) P.Beauv., 1812"
"Deschampsia media (Gouan) Roem. & Schult., 1817"
"Deschampsia media subsp. media (Gouan) Roem. & Schult., 1817"
"Descurainia sophia (L.) Webb ex Prantl, 1891"
"Dianthus armeria L., 1753"
"Dianthus armeria subsp. armeria L., 1753"
"Dianthus carthusianorum L., 1753"
"Dianthus carthusianorum subsp. carthusianorum L., 1753"
"Dianthus caryophyllus L., 1753"
"Dianthus deltoides L., 1753"
"Dianthus superbus L., 1755"
"Dianthus superbus subsp. superbus L., 1755"
Dichoropetalum carvifolia (Vill.) Pimenov & Kljuykov
"Digitalis lutea L., 1753"
"Digitalis purpurea L., 1753"
"Digitaria ischaemum (Schreb.) Schreb. ex Muhl., 1817"
"Digitaria sanguinalis (L.) Scop., 1771"
"Dioscorea communis (L.) Caddick & Wilkin, 2002"
"Diplotaxis muralis (L.) DC., 1821"
"Diplotaxis muralis subsp. muralis (L.) DC., 1821"
"Diplotaxis tenuifolia (L.) DC., 1821"
"Diplotaxis viminea (L.) DC., 1821"
"Dipsacus fullonum L., 1753"
"Dipsacus pilosus L., 1753"
"Dittrichia graveolens (L.) Greuter, 1973"
"Doronicum plantagineum L., 1753"
"Draba muralis L., 1753"
"Draba verna L., 1753"
"Drosera intermedia Hayne, 1798"
"Drosera longifolia L., 1753"
"Drosera rotundifolia L., 1753"
"Drosera x obovata Mert. & W.D.J.Koch, 1826"
"Dryopteris affinis (Lowe) Fraser-Jenk., 1979"
"Dryopteris affinis subsp. affinis (Lowe) Fraser-Jenk., 1979"
"Dryopteris affinis subsp. borreri (Newman) Fraser-Jenk., 1980"
"Dryopteris carthusiana (Vill.) H.P.Fuchs, 1959"
"Dryopteris cristata (L.) A.Gray, 1848"
"Dryopteris dilatata (Hoffm.) A.Gray, 1848"
"Dryopteris filix-mas (L.) Schott, 1834"
"Dryopteris x uliginosa (A.Braun ex Döll) Kuntze ex Druce, 1908"
"Dysphania ambrosioides (L.) Mosyakin & Clemants, 2002"
"Dysphania botrys (L.) Mosyakin & Clemants, 2002"
"Dysphania pumilio (R.Br.) Mosyakin & Clemants, 2002"
"Echinochloa crus-galli (L.) P.Beauv., 1812"
"Echium vulgare L., 1753"
"Echium vulgare var. vulgare L., 1753"
"Egeria densa Planch., 1849"
"Elatine alsinastrum L., 1753"
"Elatine hexandra (Lapierre) DC., 1808"
"Elatine hydropiper L., 1753"
"Elatine macropoda Guss., 1827"
Elatine major
"Eleocharis acicularis (L.) Roem. & Schult., 1817"
"Eleocharis multicaulis (Sm.) Desv., 1818"
"Eleocharis ovata (Roth) Roem. & Schult., 1817"
"Eleocharis palustris (L.) Roem. & Schult., 1817"
"Eleocharis quinqueflora (Hartmann) O.Schwarz, 1949"
"Eleocharis uniglumis (Link) Schult., 1824"
"Elodea canadensis Michx., 1803"
"Elodea nuttallii (Planch.) H.St.John, 1920"
"Elymus caninus (L.) L., 1755"
"Elytrigia campestris (Godr. & Gren.) Kerguélen ex Carreras, 1986"
"Elytrigia repens (L.) Desv. ex Nevski, 1934"
"Elytrigia repens subsp. repens (L.) Desv. ex Nevski, 1934"
"Epilobium angustifolium L., 1753"
"Epilobium angustifolium subsp. angustifolium L., 1753"
"Epilobium brachycarpum C.Presl, 1831"
"Epilobium ciliatum Raf., 1808"
"Epilobium hirsutum L., 1753"
"Epilobium lanceolatum Sebast. & Mauri, 1818"
"Epilobium montanum L., 1753"
"Epilobium obscurum Schreb., 1771"
"Epilobium palustre L., 1753"
"Epilobium parviflorum Schreb., 1771"
"Epilobium roseum Schreb., 1771"
"Epilobium roseum subsp. roseum Schreb., 1771"
"Epilobium tetragonum L., 1753"
"Epipactis atrorubens (Hoffm.) Besser, 1809"
"Epipactis helleborine (L.) Crantz, 1769"
"Epipactis helleborine subsp. helleborine (L.) Crantz, 1769"
"Epipactis helleborine subsp. minor (Engel) Engel, 1992"
"Epipactis microphylla (Ehrh.) Sw., 1800"
"Epipactis muelleri Godfery, 1921"
"Epipactis palustris (L.) Crantz, 1769"
"Epipactis purpurata Sm., 1828"
"Equisetum arvense L., 1753"
"Equisetum fluviatile L., 1753"
"Equisetum hyemale L., 1753"
"Equisetum palustre L., 1753"
"Equisetum ramosissimum Desf., 1799"
"Equisetum sylvaticum L., 1753"
"Equisetum telmateia Ehrh., 1783"
